,GB_index,Sigma,Misorientation_Index,L11,L12,L13,R11,R12,R13,L21,L22,L23,R21,R22,R23,L31,L32,L33,R31,R32,R33,t1,t2,t3,cos,disorientation,h1,k1,l1,h2,k2,l2,ytilt,ztilt,DSC11,DSC12,DSC13,DSC21,DSC22,DSC23,DSC31,DSC32,DSC33,CSL11,CSL12,CSL13,CSL21,CSL22,CSL23,CSL31,CSL32,type
0,1,5.0,1.0,3,1,0,3.0,1,0.0,0,0,2,0.0,0,-2.0,1,-3,0,-1.0,3,0.0,1,0,0.0,0.8,36.8699,3.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.6,-0.8,-1.0,-0.4,1.2,2.0,1.0,-3.0,-4.0,3,1,0,4,3,-5,1,2,tilt
1,2,5.0,1.0,2,0,0,2.0,0,0.0,0,3,1,0.0,3,-1.0,0,-1,3,0.0,1,3.0,1,0,0.0,0.8,36.8699,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.8,0.6,0.0,0.6,0.2,0.0,-1.4,0.2,2,0,0,5,-3,4,3,-2,twist
2,3,3.0,2.0,2,2,2,2.0,2,2.0,1,-1,0,-1.0,1,0.0,1,1,-2,-1.0,-1,2.0,1,1,0.0,0.333333333333,70.5288,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.333333333333,0.333333333333,1.33333333333,-0.333333333333,-0.333333333333,0.666666666667,1.0,0.0,-1.0,2,2,2,-1,-4,-1,1,-1,tilt
3,4,3.0,2.0,2,1,1,2.0,1,1.0,0,1,-1,0.0,-1,1.0,-2,2,2,2.0,-2,-2.0,1,1,0.0,0.333333333333,70.5288,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,-0.333333333333,1.33333333333,0.333333333333,1.33333333333,-2.33333333333,-0.333333333333,-2.0,4.0,0.0,2,1,1,4,-1,-1,1,1,tilt
4,5,3.0,2.0,1,1,0,1.0,1,0.0,1,-1,2,1.0,-1,-2.0,2,-2,-2,-2.0,2,-2.0,1,1,0.0,0.333333333333,70.5288,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,-0.333333333333,0.333333333333,1.33333333333,-0.333333333333,0.333333333333,-0.666666666667,-1,-1,0,0,1,-1,1,-4,twist
5,6,5.0,1.0,4,2,0,4.0,2,0.0,0,0,2,0.0,0,-2.0,2,-4,0,-2.0,4,0.0,1,0,0.0,0.8,36.8699,4.0,2.0,0.0,4.0,2.0,0.0,1.0,0.0,0.8,-0.6,-1.0,-0.2,0.4,1.0,1.0,-2.0,-3.0,4,2,0,3,4,-5,1,3,tilt
6,7,13.0,3.0,5,1,0,5.0,1,0.0,0,0,2,0.0,0,-2.0,1,-5,0,-1.0,5,0.0,1,0,0.0,0.923076923077,22.6199,5.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,0.384615384615,-0.923076923077,-1.0,-0.307692307692,1.53846153846,2.0,1.0,-5.0,-6.0,5,1,0,12,5,-13,12,5,tilt
7,8,13.0,3.0,2,0,0,2.0,0,0.0,0,5,1,0.0,5,-1.0,0,-1,5,0.0,1,5.0,1,0,0.0,0.923076923077,22.6199,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.923076923077,0.384615384615,0.0,0.846153846154,-0.230769230769,0.0,-1.30769230769,0.538461538462,2,0,0,13,-5,12,9,-4,twist
8,9,15.0,4.0,5,2,1,5.0,2,1.0,1,-2,-1,-1.0,2,1.0,0,2,-4,0.0,-2,4.0,2,1,0.0,0.666666666667,48.1897,5.0,2.0,1.0,5.0,2.0,1.0,0.0,1.0,-0.666666666667,1.13333333333,2.06666666667,-2.33333333333,3.06666666667,5.53333333333,3.0,-4.0,-7.0,5,2,1,5,4,-3,-3,1,tilt
9,10,5.0,1.0,5,2,1,5.0,2,-1.0,1,-2,-1,1.0,-2,1.0,0,2,-4,0.0,-2,-4.0,1,0,0.0,0.8,36.8699,5.0,2.0,1.0,5.0,2.0,1.0,0.0,0.0,1.0,0.6,0.8,0.0,0.8,0.4,0.0,-1.4,-0.2,2,0,0,5,-4,3,4,-3,mixed
