GB_index,Sigma,Misorientation_Index,L11,L12,L13,R11,R12,R13,L21,L22,L23,R21,R22,R23,L31,L32,L33,R31,R32,R33,t1,t2,t3,cos,disorientation,h1,k1,l1,h2,k2,l2,ytilt,ztilt,DSC11,DSC12,DSC13,DSC21,DSC22,DSC23,DSC31,DSC32,DSC33,CSL11,CSL12,CSL13,CSL21,CSL22,CSL23,CSL31,CSL32
1,5,1,3,1,0,3,1,0,0,0,2,0,0,-2,1,-3,0,-1,3,0,1,0,0,0.8,36.8699,3,1,0,3,1,0,1,0,0.6,-0.8,-1,-0.4,1.2,2,1,-3,-4,3,1,0,4,3,-5,1,2
2,5,1,2,0,0,2,0,0,0,3,1,0,3,-1,0,-1,3,0,1,3,1,0,0,0.8,36.8699,2,0,0,2,0,0,0,0,1,0.8,0.6,0,0.6,0.2,0,-1.4,0.2,2,0,0,5,-3,4,3,-2
3,3,2,2,2,2,2,2,2,1,-1,0,-1,1,0,1,1,-2,-1,-1,2,1,1,0,0.333333333,70.5288,2,2,2,2,2,2,1,0,0.333333333,0.333333333,1.333333333,-0.333333333,-0.333333333,0.666666667,1,0,-1,2,2,2,-1,-4,-1,1,-1
4,3,2,2,1,1,2,1,1,0,1,-1,0,-1,1,-2,2,2,2,-2,-2,1,1,0,0.333333333,70.5288,2,1,1,2,1,1,1,0,-0.333333333,1.333333333,0.333333333,1.333333333,-2.333333333,-0.333333333,-2,4,0,2,1,1,4,-1,-1,1,1
5,3,2,1,1,0,1,1,0,1,-1,2,1,-1,-2,2,-2,-2,-2,2,-2,1,1,0,0.333333333,70.5288,1,1,0,1,1,0,0,0,0,-1,1,-0.333333333,0.333333333,1.333333333,-0.333333333,0.333333333,-0.666666667,-1,-1,0,0,1,-1,1,-4
6,5,1,4,2,0,4,2,0,0,0,2,0,0,-2,2,-4,0,-2,4,0,1,0,0,0.8,36.8699,4,2,0,4,2,0,1,0,0.8,-0.6,-1,-0.2,0.4,1,1,-2,-3,4,2,0,3,4,-5,1,3
7,13,3,5,1,0,5,1,0,0,0,2,0,0,-2,1,-5,0,-1,5,0,1,0,0,0.923076923,22.6199,5,1,0,5,1,0,1,0,0.384615385,-0.923076923,-1,-0.307692308,1.538461538,2,1,-5,-6,5,1,0,12,5,-13,12,5
8,13,3,2,0,0,2,0,0,0,5,1,0,5,-1,0,-1,5,0,1,5,1,0,0,0.923076923,22.6199,2,0,0,2,0,0,0,0,1,0.923076923,0.384615385,0,0.846153846,-0.230769231,0,-1.307692308,0.538461538,2,0,0,13,-5,12,9,-4
9,15,4,5,2,1,5,2,1,1,-2,-1,-1,2,1,0,2,-4,0,-2,4,2,1,0,0.666666667,48.1897,5,2,1,5,2,1,0,1,-0.666666667,1.133333333,2.066666667,-2.333333333,3.066666667,5.533333333,3,-4,-7,5,2,1,5,4,-3,-3,1
10,5,1,5,2,1,5,2,-1,1,-2,-1,1,-2,1,0,2,-4,0,-2,-4,1,0,0,0.8,36.8699,5,2,1,5,2,1,0,0,1,0.6,0.8,0,0.8,0.4,0,-1.4,-0.2,2,0,0,5,-4,3,4,-3
