ccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc 
c     Calculated grain boundary energies of bcc Fe for 
c     intentionally selected 2,366 special boundaries 
c
c Ref: H.-K. Kim et al., Scripta Mater 64 (2011) 1152-1155
c
c Misorientation: three Euler angles (phi1,phi,phi2)
c                 see Fig. 1 in the paper
c Inclination   : polar (0~90) and azimuth (-180~180) angles
c                 upper half-sphere in Fig. 1 (see Fig. 4) 
c                 is considered, with +z direction polar 
c                 angle zero and +x direction (90,0) 
c GBE           : Gran boundary energy (mJ/m2)
ccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc
c
 Sigma   ph1     ph      ph2        polar           azimuth          GBE
  3     45.00   70.53   45.00    0.107173e+02    0.450000e+02    0.490903e+03
  3     45.00   70.53   45.00    0.256722e+02    0.526226e+02    0.362514e+03
  3     45.00   70.53   45.00    0.107173e+02   -0.450000e+02    0.746274e+03
  3     45.00   70.53   45.00    0.256722e+02   -0.526226e+02    0.733049e+03
  3     45.00   70.53   45.00    0.561496e+02    0.911025e+01    0.429347e+03
  3     45.00   70.53   45.00    0.561496e+02   -0.911025e+01    0.294415e+03
  3     45.00   70.53   45.00    0.396648e+02    0.418103e+02    0.278376e+03
  3     45.00   70.53   45.00    0.503352e+02    0.265651e+02    0.444754e+03
  3     45.00   70.53   45.00    0.396648e+02   -0.418103e+02    0.611624e+03
  3     45.00   70.53   45.00    0.503352e+02   -0.265651e+02    0.346756e+03
  3     45.00   70.53   45.00    0.107173e+02   -0.135000e+03    0.935868e+03
  3     45.00   70.53   45.00    0.256722e+02   -0.127377e+03    0.102423e+04
  3     45.00   70.53   45.00    0.107173e+02    0.135000e+03    0.746274e+03
  3     45.00   70.53   45.00    0.256722e+02    0.127377e+03    0.592278e+03
  3     45.00   70.53   45.00    0.561496e+02   -0.170890e+03    0.104590e+04
  3     45.00   70.53   45.00    0.561496e+02    0.170890e+03    0.849760e+03
  3     45.00   70.53   45.00    0.396648e+02   -0.138190e+03    0.107397e+04
  3     45.00   70.53   45.00    0.503352e+02   -0.153435e+03    0.108227e+04
  3     45.00   70.53   45.00    0.396648e+02    0.138190e+03    0.614860e+03
  3     45.00   70.53   45.00    0.503352e+02    0.153435e+03    0.677542e+03
  3     45.00   70.53   45.00    0.824439e+02    0.762263e+01    0.730305e+03
  3     45.00   70.53   45.00    0.698633e+02    0.162670e+02    0.595233e+03
  3     45.00   70.53   45.00    0.824439e+02   -0.172377e+03    0.941918e+03
  3     45.00   70.53   45.00    0.698633e+02   -0.163733e+03    0.103316e+04
  3     45.00   70.53   45.00    0.824439e+02    0.558123e+02    0.849197e+03
  3     45.00   70.53   45.00    0.824439e+02   -0.124188e+03    0.103886e+04
  3     45.00   70.53   45.00    0.648158e+02    0.317175e+02    0.614860e+03
  3     45.00   70.53   45.00    0.698633e+02    0.471679e+02    0.677191e+03
  3     45.00   70.53   45.00    0.648158e+02   -0.148283e+03    0.107565e+04
  3     45.00   70.53   45.00    0.698633e+02   -0.132832e+03    0.107678e+04
  3     45.00   70.53   45.00    0.824439e+02   -0.762263e+01    0.494913e+03
  3     45.00   70.53   45.00    0.698633e+02   -0.162670e+02    0.362514e+03
  3     45.00   70.53   45.00    0.824439e+02    0.172377e+03    0.733752e+03
  3     45.00   70.53   45.00    0.698633e+02    0.163733e+03    0.733049e+03
  3     45.00   70.53   45.00    0.824439e+02   -0.558123e+02    0.437156e+03
  3     45.00   70.53   45.00    0.824439e+02    0.124188e+03    0.294415e+03
  3     45.00   70.53   45.00    0.648158e+02   -0.317175e+02    0.278376e+03
  3     45.00   70.53   45.00    0.698633e+02   -0.471679e+02    0.444754e+03
  3     45.00   70.53   45.00    0.648158e+02    0.148283e+03    0.611624e+03
  3     45.00   70.53   45.00    0.698633e+02    0.132832e+03    0.350203e+03
  3     45.00   70.53   45.00    0.349134e+02    0.767175e+02    0.309963e+03
  3     45.00   70.53   45.00    0.349134e+02    0.103283e+03    0.428784e+03
  3     45.00   70.53   45.00    0.824439e+02    0.823774e+02    0.730305e+03
  3     45.00   70.53   45.00    0.747523e+02    0.690948e+02    0.733049e+03
  3     45.00   70.53   45.00    0.824439e+02    0.976226e+02    0.494913e+03
  3     45.00   70.53   45.00    0.747523e+02    0.110905e+03    0.362514e+03
  3     45.00   70.53   45.00    0.464867e+02    0.616600e+02    0.371238e+03
  3     45.00   70.53   45.00    0.615913e+02    0.610668e+02    0.611624e+03
  3     45.00   70.53   45.00    0.464867e+02    0.118340e+03    0.441799e+03
  3     45.00   70.53   45.00    0.615913e+02    0.118933e+03    0.278376e+03
  3     45.00   70.53   45.00    0.349134e+02   -0.103283e+03    0.104857e+04
  3     45.00   70.53   45.00    0.349134e+02   -0.767175e+02    0.851378e+03
  3     45.00   70.53   45.00    0.824439e+02   -0.976226e+02    0.941918e+03
  3     45.00   70.53   45.00    0.747523e+02   -0.110905e+03    0.103183e+04
  3     45.00   70.53   45.00    0.824439e+02   -0.823774e+02    0.733752e+03
  3     45.00   70.53   45.00    0.747523e+02   -0.690948e+02    0.602057e+03
  3     45.00   70.53   45.00    0.464867e+02   -0.118340e+03    0.107601e+04
  3     45.00   70.53   45.00    0.615913e+02   -0.118933e+03    0.108846e+04
  3     45.00   70.53   45.00    0.464867e+02   -0.616600e+02    0.683170e+03
  3     45.00   70.53   45.00    0.615913e+02   -0.610668e+02    0.614860e+03
  3     45.00   70.53   45.00    0.317175e+02    0.000000e+00    0.390936e+03
  3     45.00   70.53   45.00    0.317175e+02    0.180000e+03    0.929818e+03
  3     45.00   70.53   45.00    0.900000e+02    0.317175e+02    0.942551e+03
  3     45.00   70.53   45.00    0.900000e+02   -0.317175e+02    0.391991e+03
  3     45.00   70.53   45.00    0.582825e+02    0.900000e+02    0.406272e+03
  3     45.00   70.53   45.00    0.582825e+02   -0.900000e+02    0.938330e+03
  3     45.00   70.53   45.00    0.209052e+02    0.900000e+02    0.579122e+03
