ccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc 
c     Calculated grain boundary energies of bcc Fe for 
c     intentionally selected 2,366 special boundaries 
c
c Ref: H.-K. Kim et al., Scripta Mater 64 (2011) 1152-1155
c
c Misorientation: three Euler angles (phi1,phi,phi2)
c                 see Fig. 1 in the paper
c Inclination   : polar (0~90) and azimuth (-180~180) angles
c                 upper half-sphere in Fig. 1 (see Fig. 4) 
c                 is considered, with +z direction polar 
c                 angle zero and +x direction (90,0) 
c GBE           : Gran boundary energy (mJ/m2)
ccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc
c
 Sigma   ph1     ph      ph2        polar           azimuth          GBE
  3     45.00   70.53   45.00    0.107173D+02    0.450000D+02    0.490903D+03
  3     45.00   70.53   45.00    0.256722D+02    0.526226D+02    0.362514D+03
  3     45.00   70.53   45.00    0.107173D+02   -0.450000D+02    0.746274D+03
  3     45.00   70.53   45.00    0.256722D+02   -0.526226D+02    0.733049D+03
  3     45.00   70.53   45.00    0.561496D+02    0.911025D+01    0.429347D+03
  3     45.00   70.53   45.00    0.561496D+02   -0.911025D+01    0.294415D+03
  3     45.00   70.53   45.00    0.396648D+02    0.418103D+02    0.278376D+03
  3     45.00   70.53   45.00    0.503352D+02    0.265651D+02    0.444754D+03
  3     45.00   70.53   45.00    0.396648D+02   -0.418103D+02    0.611624D+03
  3     45.00   70.53   45.00    0.503352D+02   -0.265651D+02    0.346756D+03
  3     45.00   70.53   45.00    0.107173D+02   -0.135000D+03    0.935868D+03
  3     45.00   70.53   45.00    0.256722D+02   -0.127377D+03    0.102423D+04
  3     45.00   70.53   45.00    0.107173D+02    0.135000D+03    0.746274D+03
  3     45.00   70.53   45.00    0.256722D+02    0.127377D+03    0.592278D+03
  3     45.00   70.53   45.00    0.561496D+02   -0.170890D+03    0.104590D+04
  3     45.00   70.53   45.00    0.561496D+02    0.170890D+03    0.849760D+03
  3     45.00   70.53   45.00    0.396648D+02   -0.138190D+03    0.107397D+04
  3     45.00   70.53   45.00    0.503352D+02   -0.153435D+03    0.108227D+04
  3     45.00   70.53   45.00    0.396648D+02    0.138190D+03    0.614860D+03
  3     45.00   70.53   45.00    0.503352D+02    0.153435D+03    0.677542D+03
  3     45.00   70.53   45.00    0.824439D+02    0.762263D+01    0.730305D+03
  3     45.00   70.53   45.00    0.698633D+02    0.162670D+02    0.595233D+03
  3     45.00   70.53   45.00    0.824439D+02   -0.172377D+03    0.941918D+03
  3     45.00   70.53   45.00    0.698633D+02   -0.163733D+03    0.103316D+04
  3     45.00   70.53   45.00    0.824439D+02    0.558123D+02    0.849197D+03
  3     45.00   70.53   45.00    0.824439D+02   -0.124188D+03    0.103886D+04
  3     45.00   70.53   45.00    0.648158D+02    0.317175D+02    0.614860D+03
  3     45.00   70.53   45.00    0.698633D+02    0.471679D+02    0.677191D+03
  3     45.00   70.53   45.00    0.648158D+02   -0.148283D+03    0.107565D+04
  3     45.00   70.53   45.00    0.698633D+02   -0.132832D+03    0.107678D+04
  3     45.00   70.53   45.00    0.824439D+02   -0.762263D+01    0.494913D+03
  3     45.00   70.53   45.00    0.698633D+02   -0.162670D+02    0.362514D+03
  3     45.00   70.53   45.00    0.824439D+02    0.172377D+03    0.733752D+03
  3     45.00   70.53   45.00    0.698633D+02    0.163733D+03    0.733049D+03
  3     45.00   70.53   45.00    0.824439D+02   -0.558123D+02    0.437156D+03
  3     45.00   70.53   45.00    0.824439D+02    0.124188D+03    0.294415D+03
  3     45.00   70.53   45.00    0.648158D+02   -0.317175D+02    0.278376D+03
  3     45.00   70.53   45.00    0.698633D+02   -0.471679D+02    0.444754D+03
  3     45.00   70.53   45.00    0.648158D+02    0.148283D+03    0.611624D+03
  3     45.00   70.53   45.00    0.698633D+02    0.132832D+03    0.350203D+03
  3     45.00   70.53   45.00    0.349134D+02    0.767175D+02    0.309963D+03
  3     45.00   70.53   45.00    0.349134D+02    0.103283D+03    0.428784D+03
  3     45.00   70.53   45.00    0.824439D+02    0.823774D+02    0.730305D+03
  3     45.00   70.53   45.00    0.747523D+02    0.690948D+02    0.733049D+03
  3     45.00   70.53   45.00    0.824439D+02    0.976226D+02    0.494913D+03
  3     45.00   70.53   45.00    0.747523D+02    0.110905D+03    0.362514D+03
  3     45.00   70.53   45.00    0.464867D+02    0.616600D+02    0.371238D+03
  3     45.00   70.53   45.00    0.615913D+02    0.610668D+02    0.611624D+03
  3     45.00   70.53   45.00    0.464867D+02    0.118340D+03    0.441799D+03
  3     45.00   70.53   45.00    0.615913D+02    0.118933D+03    0.278376D+03
  3     45.00   70.53   45.00    0.349134D+02   -0.103283D+03    0.104857D+04
  3     45.00   70.53   45.00    0.349134D+02   -0.767175D+02    0.851378D+03
  3     45.00   70.53   45.00    0.824439D+02   -0.976226D+02    0.941918D+03
  3     45.00   70.53   45.00    0.747523D+02   -0.110905D+03    0.103183D+04
  3     45.00   70.53   45.00    0.824439D+02   -0.823774D+02    0.733752D+03
  3     45.00   70.53   45.00    0.747523D+02   -0.690948D+02    0.602057D+03
  3     45.00   70.53   45.00    0.464867D+02   -0.118340D+03    0.107601D+04
  3     45.00   70.53   45.00    0.615913D+02   -0.118933D+03    0.108846D+04
  3     45.00   70.53   45.00    0.464867D+02   -0.616600D+02    0.683170D+03
  3     45.00   70.53   45.00    0.615913D+02   -0.610668D+02    0.614860D+03
  3     45.00   70.53   45.00    0.317175D+02    0.000000D+00    0.390936D+03
  3     45.00   70.53   45.00    0.317175D+02    0.180000D+03    0.929818D+03
  3     45.00   70.53   45.00    0.900000D+02    0.317175D+02    0.942551D+03
  3     45.00   70.53   45.00    0.900000D+02   -0.317175D+02    0.391991D+03
  3     45.00   70.53   45.00    0.582825D+02    0.900000D+02    0.406272D+03
  3     45.00   70.53   45.00    0.582825D+02   -0.900000D+02    0.938330D+03
  3     45.00   70.53   45.00    0.209052D+02    0.900000D+02    0.579122D+03
