cccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc 
c     Calculated grain boundary energies of bcc Fe for 
c     mechanically selected 66,339 grain boundaries
c
c  Misorientation : three Euler angles (phi1, phi, phi2)
c  Inclination    : polar and azimuth angles
c  GBE            : Gran boundary energy (mJ/m2)
cccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc
c
  ph1  ph  ph2     polar           azimuth          GBE
   0   0   0    0.107170e+02    0.450000e+02    0.000000e+00
   0   0   0   -0.154328e+03    0.526230e+02    0.000000e+00
   0   0   0   -0.169283e+03   -0.450000e+02    0.000000e+00
   0   0   0    0.256720e+02   -0.526230e+02    0.000000e+00
   0   0   0    0.561500e+02    0.911000e+01    0.000000e+00
   0   0   0   -0.123850e+03   -0.911000e+01    0.000000e+00
   0   0   0    0.396650e+02    0.418100e+02    0.000000e+00
   0   0   0   -0.129665e+03    0.265650e+02    0.000000e+00
   0   0   0   -0.140335e+03   -0.418100e+02    0.000000e+00
   0   0   0    0.503350e+02   -0.265650e+02    0.000000e+00
   0   0   0   -0.107170e+02    0.450000e+02    0.000000e+00
   0   0   0    0.154328e+03    0.526230e+02    0.000000e+00
   0   0   0    0.169283e+03   -0.450000e+02    0.000000e+00
   0   0   0   -0.256720e+02   -0.526230e+02    0.000000e+00
   0   0   0   -0.561500e+02    0.911000e+01    0.000000e+00
   0   0   0    0.123850e+03   -0.911000e+01    0.000000e+00
   0   0   0   -0.396650e+02    0.418100e+02    0.000000e+00
   0   0   0    0.129665e+03    0.265650e+02    0.000000e+00
   0   0   0    0.140335e+03   -0.418100e+02    0.000000e+00
   0   0   0   -0.503350e+02   -0.265650e+02    0.000000e+00
   0   0   0    0.824440e+02    0.762300e+01    0.000000e+00
   0   0   0   -0.110137e+03    0.162670e+02    0.000000e+00
   0   0   0   -0.824440e+02    0.762300e+01    0.000000e+00
   0   0   0    0.110137e+03    0.162670e+02    0.000000e+00
   0   0   0    0.824440e+02    0.558120e+02    0.000000e+00
   0   0   0   -0.824440e+02    0.558120e+02    0.000000e+00
   0   0   0    0.648160e+02    0.317170e+02    0.000000e+00
   0   0   0   -0.110137e+03    0.471680e+02    0.000000e+00
   0   0   0   -0.648160e+02    0.317170e+02    0.000000e+00
   0   0   0    0.110137e+03    0.471680e+02    0.000000e+00
   0   0   0   -0.975560e+02   -0.762300e+01    0.000000e+00
   0   0   0    0.698630e+02   -0.162670e+02    0.000000e+00
   0   0   0    0.975560e+02   -0.762300e+01    0.000000e+00
   0   0   0   -0.698630e+02   -0.162670e+02    0.000000e+00
   0   0   0   -0.975560e+02   -0.558120e+02    0.000000e+00
   0   0   0    0.975560e+02   -0.558120e+02    0.000000e+00
   0   0   0   -0.115184e+03   -0.317170e+02    0.000000e+00
   0   0   0    0.698630e+02   -0.471680e+02    0.000000e+00
   0   0   0    0.115184e+03   -0.317170e+02    0.000000e+00
   0   0   0   -0.698630e+02   -0.471680e+02    0.000000e+00
   0   0   0    0.349130e+02    0.767170e+02    0.000000e+00
   0   0   0    0.145087e+03   -0.767170e+02    0.000000e+00
   0   0   0    0.824440e+02    0.823770e+02    0.000000e+00
   0   0   0   -0.105248e+03    0.690950e+02    0.000000e+00
   0   0   0    0.975560e+02   -0.823770e+02    0.000000e+00
   0   0   0   -0.747520e+02   -0.690950e+02    0.000000e+00
   0   0   0   -0.133513e+03    0.616600e+02    0.000000e+00
   0   0   0    0.615910e+02    0.610670e+02    0.000000e+00
   0   0   0   -0.464870e+02   -0.616600e+02    0.000000e+00
   0   0   0    0.118409e+03   -0.610670e+02    0.000000e+00
   0   0   0   -0.349130e+02    0.767170e+02    0.000000e+00
   0   0   0   -0.145087e+03   -0.767170e+02    0.000000e+00
   0   0   0   -0.824440e+02    0.823770e+02    0.000000e+00
   0   0   0    0.105248e+03    0.690950e+02    0.000000e+00
   0   0   0   -0.975560e+02   -0.823770e+02    0.000000e+00
   0   0   0    0.747520e+02   -0.690950e+02    0.000000e+00
   0   0   0    0.133513e+03    0.616600e+02    0.000000e+00
   0   0   0   -0.615910e+02    0.610670e+02    0.000000e+00
   0   0   0    0.464870e+02   -0.616600e+02    0.000000e+00
   0   0   0   -0.118409e+03   -0.610670e+02    0.000000e+00
   0   0   0    0.317170e+02    0.000000e+00    0.000000e+00
   0   0   0    0.148283e+03    0.000000e+00    0.000000e+00
