cccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc 
c     Calculated grain boundary energies of bcc Fe for 
c     mechanically selected 66,339 grain boundaries
c
c  Misorientation : three Euler angles (phi1, phi, phi2)
c  Inclination    : polar and azimuth angles
c  GBE            : Gran boundary energy (mJ/m2)
cccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc
c
  ph1  ph  ph2     polar           azimuth          GBE
   0   0   0    0.107170D+02    0.450000D+02    0.000000D+00
   0   0   0   -0.154328D+03    0.526230D+02    0.000000D+00
   0   0   0   -0.169283D+03   -0.450000D+02    0.000000D+00
   0   0   0    0.256720D+02   -0.526230D+02    0.000000D+00
   0   0   0    0.561500D+02    0.911000D+01    0.000000D+00
   0   0   0   -0.123850D+03   -0.911000D+01    0.000000D+00
   0   0   0    0.396650D+02    0.418100D+02    0.000000D+00
   0   0   0   -0.129665D+03    0.265650D+02    0.000000D+00
   0   0   0   -0.140335D+03   -0.418100D+02    0.000000D+00
   0   0   0    0.503350D+02   -0.265650D+02    0.000000D+00
   0   0   0   -0.107170D+02    0.450000D+02    0.000000D+00
   0   0   0    0.154328D+03    0.526230D+02    0.000000D+00
   0   0   0    0.169283D+03   -0.450000D+02    0.000000D+00
   0   0   0   -0.256720D+02   -0.526230D+02    0.000000D+00
   0   0   0   -0.561500D+02    0.911000D+01    0.000000D+00
   0   0   0    0.123850D+03   -0.911000D+01    0.000000D+00
   0   0   0   -0.396650D+02    0.418100D+02    0.000000D+00
   0   0   0    0.129665D+03    0.265650D+02    0.000000D+00
   0   0   0    0.140335D+03   -0.418100D+02    0.000000D+00
   0   0   0   -0.503350D+02   -0.265650D+02    0.000000D+00
   0   0   0    0.824440D+02    0.762300D+01    0.000000D+00
   0   0   0   -0.110137D+03    0.162670D+02    0.000000D+00
   0   0   0   -0.824440D+02    0.762300D+01    0.000000D+00
   0   0   0    0.110137D+03    0.162670D+02    0.000000D+00
   0   0   0    0.824440D+02    0.558120D+02    0.000000D+00
   0   0   0   -0.824440D+02    0.558120D+02    0.000000D+00
   0   0   0    0.648160D+02    0.317170D+02    0.000000D+00
   0   0   0   -0.110137D+03    0.471680D+02    0.000000D+00
   0   0   0   -0.648160D+02    0.317170D+02    0.000000D+00
   0   0   0    0.110137D+03    0.471680D+02    0.000000D+00
   0   0   0   -0.975560D+02   -0.762300D+01    0.000000D+00
   0   0   0    0.698630D+02   -0.162670D+02    0.000000D+00
   0   0   0    0.975560D+02   -0.762300D+01    0.000000D+00
   0   0   0   -0.698630D+02   -0.162670D+02    0.000000D+00
   0   0   0   -0.975560D+02   -0.558120D+02    0.000000D+00
   0   0   0    0.975560D+02   -0.558120D+02    0.000000D+00
   0   0   0   -0.115184D+03   -0.317170D+02    0.000000D+00
   0   0   0    0.698630D+02   -0.471680D+02    0.000000D+00
   0   0   0    0.115184D+03   -0.317170D+02    0.000000D+00
   0   0   0   -0.698630D+02   -0.471680D+02    0.000000D+00
   0   0   0    0.349130D+02    0.767170D+02    0.000000D+00
   0   0   0    0.145087D+03   -0.767170D+02    0.000000D+00
   0   0   0    0.824440D+02    0.823770D+02    0.000000D+00
   0   0   0   -0.105248D+03    0.690950D+02    0.000000D+00
   0   0   0    0.975560D+02   -0.823770D+02    0.000000D+00
   0   0   0   -0.747520D+02   -0.690950D+02    0.000000D+00
   0   0   0   -0.133513D+03    0.616600D+02    0.000000D+00
   0   0   0    0.615910D+02    0.610670D+02    0.000000D+00
   0   0   0   -0.464870D+02   -0.616600D+02    0.000000D+00
   0   0   0    0.118409D+03   -0.610670D+02    0.000000D+00
   0   0   0   -0.349130D+02    0.767170D+02    0.000000D+00
   0   0   0   -0.145087D+03   -0.767170D+02    0.000000D+00
   0   0   0   -0.824440D+02    0.823770D+02    0.000000D+00
   0   0   0    0.105248D+03    0.690950D+02    0.000000D+00
   0   0   0   -0.975560D+02   -0.823770D+02    0.000000D+00
   0   0   0    0.747520D+02   -0.690950D+02    0.000000D+00
   0   0   0    0.133513D+03    0.616600D+02    0.000000D+00
   0   0   0   -0.615910D+02    0.610670D+02    0.000000D+00
   0   0   0    0.464870D+02   -0.616600D+02    0.000000D+00
   0   0   0   -0.118409D+03   -0.610670D+02    0.000000D+00
   0   0   0    0.317170D+02    0.000000D+00    0.000000D+00
   0   0   0    0.148283D+03    0.000000D+00    0.000000D+00
   0   0   0    0.900000D+02    0.317170D+02    0.000000D+00
   0   0   0    0.900000D+02   -0.317170D+02    0.000000D+00
   0   0   0    0.582830D+02    0.900000D+02    0.000000D+00
   0   0   0    0.121717D+03    0.900000D+02    0.000000D+00
   0   0   0    0.209050D+02    0.900000D+02    0.000000D+00
   0   0   0    0.159095D+03    0.900000D+02    0.000000D+00
   0   0   0    0.690950D+02    0.000000D+00    0.000000D+00
   0   0   0    0.110905D+03    0.000000D+00    0.000000D+00
   0   0   0    0.900000D+02    0.690950D+02    0.000000D+00
   0   0   0    0.900000D+02   -0.690950D+02    0.000000D+00
   0   0   0    0.547360D+02    0.450000D+02    0.000000D+00
   0   0   0    0.125264D+03    0.450000D+02    0.000000D+00
   0   0   0    0.547360D+02   -0.450000D+02    0.000000D+00
   0   0   0    0.125264D+03   -0.450000D+02    0.000000D+00
   0   0   0    0.000000D+00    0.000000D+00    0.000000D+00
   0   0   0    0.900000D+02    0.000000D+00    0.000000D+00
   0   0   0    0.900000D+02    0.900000D+02    0.000000D+00
   0   0   0    0.360000D+02    0.582830D+02    0.000000D+00
   0   0   0    0.144000D+03    0.582830D+02    0.000000D+00
   0   0   0    0.360000D+02   -0.582830D+02    0.000000D+00
   0   0   0    0.144000D+03   -0.582830D+02    0.000000D+00
   0   0   0    0.600000D+02    0.209050D+02    0.000000D+00
   0   0   0    0.120000D+03    0.209050D+02    0.000000D+00
   0   0   0    0.600000D+02   -0.209050D+02    0.000000D+00
   0   0   0    0.120000D+03   -0.209050D+02    0.000000D+00
   0   0   0    0.720000D+02    0.582830D+02    0.000000D+00
   0   0   0    0.108000D+03    0.582830D+02    0.000000D+00
   0   0   0    0.720000D+02   -0.582830D+02    0.000000D+00
   0   0   0    0.108000D+03   -0.582830D+02    0.000000D+00
   0   0  10    0.107170D+02    0.450000D+02    0.112776D+04
   0   0  10   -0.154328D+03    0.526230D+02    0.116687D+04
   0   0  10   -0.169283D+03   -0.450000D+02    0.112776D+04
   0   0  10    0.256720D+02   -0.526230D+02    0.113430D+04
   0   0  10    0.561500D+02    0.911000D+01    0.112157D+04
   0   0  10   -0.123850D+03   -0.911000D+01    0.120226D+04
   0   0  10    0.396650D+02    0.418100D+02    0.109983D+04
   0   0  10   -0.129665D+03    0.265650D+02    0.979743D+03
   0   0  10   -0.140335D+03   -0.418100D+02    0.115843D+04
   0   0  10    0.503350D+02   -0.265650D+02    0.111728D+04
   0   0  10   -0.107170D+02    0.450000D+02    0.112776D+04
   0   0  10    0.154328D+03    0.526230D+02    0.116687D+04
   0   0  10    0.169283D+03   -0.450000D+02    0.112776D+04
   0   0  10   -0.256720D+02   -0.526230D+02    0.113430D+04
   0   0  10   -0.561500D+02    0.911000D+01    0.112157D+04
