brkQ,method,projtol,zeroQ,starttime,nmeshpts,ndatapts,ncores,gitcommit,uuid,predinput,queryinput,projQ,runtime,parity,L,r,nints,numnonints,int_fraction,genseed,errmetrics,rmse,mae
1,idw,0.0001,0,17-Oct-2020 23:26:11,10000,10000,12,70ad64f,eabe7206,5dof,5dof,1,1.532831,,2,0.0872664625997165,10000,0,1,1149325920,,0.0668083735263327,0.0481487983452019
1,idw,0.0001,0,17-Oct-2020 23:29:55,10000,10000,12,70ad64f,d0984f31,5dof,5dof,1,3.328291,,2,0.0872664625997165,10000,0,1,1149347789,,0.0672761927528714,0.0485927995042873
1,idw,0.0001,0,17-Oct-2020 23:29:09,10000,10000,12,70ad64f,f51bb800,5dof,5dof,1,1.901553,,2,0.0872664625997165,10000,0,1,1149343195,,0.0673754426412287,0.0483625846494046
1,idw,0.0001,0,17-Oct-2020 23:30:09,10000,10000,12,70ad64f,f24f1e6e,5dof,5dof,1,1.689249,,2,0.0872664625997165,10000,0,1,1149349651,,0.066874838879004,0.0481823996990749
1,idw,0.0001,0,17-Oct-2020 23:28:27,10000,10000,12,70ad64f,58d8d932,5dof,5dof,1,1.94399,,2,0.0872664625997165,10000,0,1,1149338886,,0.0670395029994384,0.0483558436389628
1,idw,0.0001,0,17-Oct-2020 23:25:27,10000,10000,12,70ad64f,8d9c58ba,5dof,5dof,1,2.035013,,2,0.0872664625997165,10000,0,1,1149320020,,0.0683294344235648,0.0481650554109375
1,idw,0.0001,0,17-Oct-2020 23:26:52,10000,10000,12,70ad64f,8eb8638a,5dof,5dof,1,2.33373,,2,0.0872664625997165,10000,0,1,1149329620,,0.0667477351431236,0.0483234276355955
1,idw,0.0001,0,17-Oct-2020 23:30:39,10000,10000,12,70ad64f,e46492ee,5dof,5dof,1,2.972,,2,0.0872664625997165,10000,0,1,1149352215,,0.0672288505418222,0.0484949365522916
1,idw,0.0001,0,17-Oct-2020 23:25:46,10000,10000,12,70ad64f,4edad739,5dof,5dof,1,2.988592,,2,0.0872664625997165,10000,0,1,1149321740,,0.0686718769364334,0.0483052666464173
1,idw,0.0001,0,17-Oct-2020 23:28:46,10000,10000,12,70ad64f,05552f34,5dof,5dof,1,1.595619,,2,0.0872664625997165,10000,0,1,1149341210,,0.0672103764502585,0.0484881674760087
1,idw,0.0001,0,17-Oct-2020 23:27:37,1000,10000,12,70ad64f,aa4e07bb,5dof,5dof,1,0.190251,,2,0.0872664625997165,10000,0,1,1149335695,,0.0870525615464412,0.0625077939015412
1,idw,0.0001,0,17-Oct-2020 23:28:39,1000,10000,12,70ad64f,a40a6411,5dof,5dof,1,0.325375,,2,0.0872664625997165,10000,0,1,1149341622,,0.0891653026433798,0.062855650675957
1,idw,0.0001,0,17-Oct-2020 23:27:47,1000,10000,12,70ad64f,ce6dc4e3,5dof,5dof,1,0.284536,,2,0.0872664625997165,10000,0,1,1149336317,,0.0887299045923285,0.0622086362089464
1,idw,0.0001,0,17-Oct-2020 23:26:59,1000,10000,12,70ad64f,5d03c9f7,5dof,5dof,1,0.178565,,2,0.0872664625997165,10000,0,1,1149332146,,0.0910186927873641,0.0635519798302657
1,idw,0.0001,0,17-Oct-2020 23:27:32,1000,10000,12,70ad64f,cc1e5004,5dof,5dof,1,0.188618,,2,0.0872664625997165,10000,0,1,1149335365,,0.0869658693322951,0.0622694112035698
1,idw,0.0001,0,17-Oct-2020 23:25:33,1000,10000,12,70ad64f,179aa690,5dof,5dof,1,0.172773,,2,0.0872664625997165,10000,0,1,1149323137,,0.0890262832609453,0.0632109315280806
1,idw,0.0001,0,17-Oct-2020 23:26:08,1000,10000,12,70ad64f,4abfa5b4,5dof,5dof,1,0.196587,,2,0.0872664625997165,10000,0,1,1149327119,,0.0888236589748544,0.0626145521671635
1,idw,0.0001,0,17-Oct-2020 23:25:05,1000,10000,12,70ad64f,3436dd91,5dof,5dof,1,0.323232,,2,0.0872664625997165,10000,0,1,1149320121,,0.0905178810133135,0.0631761089174012
1,idw,0.0001,0,17-Oct-2020 23:26:49,1000,10000,12,70ad64f,4982db37,5dof,5dof,1,0.172258,,2,0.0872664625997165,10000,0,1,1149331151,,0.0884859768511749,0.062693143535831
1,idw,0.0001,0,17-Oct-2020 23:27:52,1000,10000,12,70ad64f,56353d1a,5dof,5dof,1,0.150048,,2,0.0872664625997165,10000,0,1,1149337383,,0.0894324269833826,0.0624875141460932
1,idw,0.0001,0,17-Oct-2020 23:26:17,100,10000,12,70ad64f,af5f61ac,5dof,5dof,1,0.073175,,2,0.0872664625997165,10000,0,1,1149326828,,0.142832713272411,0.100274390766188
1,idw,0.0001,0,17-Oct-2020 23:27:52,100,10000,12,70ad64f,95d8eabf,5dof,5dof,1,0.062827,,2,0.0872664625997165,10000,0,1,1149337548,,0.139121270384449,0.0991909643539192
1,idw,0.0001,0,17-Oct-2020 23:27:10,100,10000,12,70ad64f,d758fd33,5dof,5dof,1,0.052475,,2,0.0872664625997165,10000,0,1,1149333287,,0.138609726501837,0.0987315531608413
1,idw,0.0001,0,17-Oct-2020 23:26:33,100,10000,12,70ad64f,40431780,5dof,5dof,1,0.299,,2,0.0872664625997165,10000,0,1,1149327325,,0.145931383037739,0.104123348109681
1,idw,0.0001,0,17-Oct-2020 23:30:04,100,10000,12,70ad64f,bc09301a,5dof,5dof,1,0.059559,,2,0.0872664625997165,10000,0,1,1149350034,,0.138738251037478,0.0976425271831888
1,idw,0.0001,0,17-Oct-2020 23:25:37,100,10000,12,70ad64f,cd877c57,5dof,5dof,1,0.81264,,2,0.0872664625997165,10000,0,1,1149322454,,0.143351502831316,0.102954664057846
1,idw,0.0001,0,17-Oct-2020 23:27:32,100,10000,12,70ad64f,c204c16a,5dof,5dof,1,0.046768,,2,0.0872664625997165,10000,0,1,1149335265,,0.144119094963417,0.10136616634623
1,idw,0.0001,0,17-Oct-2020 23:26:10,100,10000,12,70ad64f,b99a9acb,5dof,5dof,1,0.051849,,2,0.0872664625997165,10000,0,1,1149327418,,0.133636946546,0.0955926556245053
1,idw,0.0001,0,17-Oct-2020 23:27:07,100,10000,12,70ad64f,f6f15633,5dof,5dof,1,0.045095,,2,0.0872664625997165,10000,0,1,1149333110,,0.134561503807263,0.0971657775586509
1,idw,0.0001,0,17-Oct-2020 23:26:47,20000,10000,12,70ad64f,698b23c1,5dof,5dof,1,2.531312,,2,0.0872664625997165,10000,0,1,1149327252,,0.0685590894510585,0.0485283995577876
1,idw,0.0001,0,17-Oct-2020 23:28:31,20000,10000,12,70ad64f,caee059e,5dof,5dof,1,2.310598,,2,0.0872664625997165,10000,0,1,1149339427,,0.0680215236072311,0.0480408914885984
1,idw,0.0001,0,17-Oct-2020 23:26:05,20000,10000,12,70ad64f,8eff2a0e,5dof,5dof,1,4.838762,,2,0.0872664625997165,10000,0,1,1149322456,,0.0684563721834447,0.0483906976781045
1,idw,0.0001,0,17-Oct-2020 23:29:12,20000,10000,12,70ad64f,220d8f9c,5dof,5dof,1,2.292105,,2,0.0872664625997165,10000,0,1,1149343704,,0.067699785364768,0.0478254195461765
1,idw,0.0001,0,17-Oct-2020 23:25:24,20000,10000,12,70ad64f,8f380837,5dof,5dof,1,2.489193,,2,0.0872664625997165,10000,0,1,1149320150,,0.0687444298974401,0.0484586255066714
1,idw,0.0001,0,17-Oct-2020 23:25:22,20000,10000,12,70ad64f,ea2ea623,5dof,5dof,1,3.998049,,2,0.0872664625997165,10000,0,1,1149319615,,0.0686632982110251,0.0486674263652337
1,idw,0.0001,0,17-Oct-2020 23:27:30,20000,10000,12,70ad64f,d0430a99,5dof,5dof,1,2.320563,,2,0.0872664625997165,10000,0,1,1149333663,,0.0681936047420987,0.0480347299704278
1,idw,0.0001,0,17-Oct-2020 23:27:13,20000,10000,12,70ad64f,eb9b0a34,5dof,5dof,1,5.686793,,2,0.0872664625997165,10000,0,1,1149330107,,0.0678818540719798,0.0481022633471207
1,idw,0.0001,0,17-Oct-2020 23:26:29,388,10000,12,70ad64f,690d5c48,5dof,5dof,1,0.086743,,2,0.0872664625997165,10000,0,1,1149329249,,0.108506108908895,0.0769276195999465
1,idw,0.0001,0,17-Oct-2020 23:25:36,388,10000,12,70ad64f,04ada9d7,5dof,5dof,1,0.090603,,2,0.0872664625997165,10000,0,1,1149323740,,0.110499604919748,0.0776986150118949
1,idw,0.0001,0,17-Oct-2020 23:27:52,388,10000,12,70ad64f,b2ff13e7,5dof,5dof,1,0.105235,,2,0.0872664625997165,10000,0,1,1149337470,,0.113948329437218,0.0786288569869168
1,idw,0.0001,0,17-Oct-2020 23:28:01,388,10000,12,70ad64f,4d54e30e,5dof,5dof,1,0.082761,,2,0.0872664625997165,10000,0,1,1149337989,,0.111932133917135,0.0786385020789918
1,idw,0.0001,0,17-Oct-2020 23:25:56,388,10000,12,70ad64f,487b6ec3,5dof,5dof,1,0.088272,,2,0.0872664625997165,10000,0,1,1149325830,,0.114871037326742,0.0799317801468615
1,idw,0.0001,0,17-Oct-2020 23:28:13,388,10000,12,70ad64f,1700fb75,5dof,5dof,1,0.241515,,2,0.0872664625997165,10000,0,1,1149339006,,0.110784604214827,0.0779982002111789
1,idw,0.0001,0,17-Oct-2020 23:27:11,388,10000,12,70ad64f,007f9651,5dof,5dof,1,0.100737,,2,0.0872664625997165,10000,0,1,1149332993,,0.11095119521375,0.0770369884323724
1,idw,0.0001,0,17-Oct-2020 23:29:11,388,10000,12,70ad64f,80d99117,5dof,5dof,1,0.102748,,2,0.0872664625997165,10000,0,1,1149345046,,0.111623635847957,0.078370986076925
1,idw,0.0001,0,17-Oct-2020 23:27:20,388,10000,12,70ad64f,b8e32cea,5dof,5dof,1,0.112819,,2,0.0872664625997165,10000,0,1,1149333788,,0.1126479005724,0.0789918963423432
1,idw,0.0001,0,17-Oct-2020 23:25:04,388,10000,12,70ad64f,4de30456,5dof,5dof,1,0.292839,,2,0.0872664625997165,10000,0,1,1149320150,,0.113208646115853,0.0794482888323763
1,idw,0.0001,0,17-Oct-2020 23:29:19,50000,10000,12,70ad64f,65831e1c,5dof,5dof,1,7.700967,,2,0.0872664625997165,10000,0,1,1149341438,,0.067905842824517,0.0484163755301742
1,idw,0.0001,0,17-Oct-2020 23:26:47,50000,10000,12,70ad64f,088bf0ff,5dof,5dof,1,5.613306,,2,0.0872664625997165,10000,0,1,1149326066,,0.0681693909484549,0.0485097048843476
1,idw,0.0001,0,17-Oct-2020 23:26:15,50000,10000,12,70ad64f,e95c83cc,5dof,5dof,1,8.940342,,2,0.0872664625997165,10000,0,1,1149319792,,0.0686733306189159,0.0483935478374481
1,idw,0.0001,0,17-Oct-2020 23:27:15,50000,10000,12,70ad64f,a87a753f,5dof,5dof,1,9.208992,,2,0.0872664625997165,10000,0,1,1149329064,,0.0679607907840188,0.0483857700760235
1,idw,0.0001,0,17-Oct-2020 23:28:58,50000,10000,12,70ad64f,590f2661,5dof,5dof,1,12.235126,,2,0.0872664625997165,10000,0,1,1149336388,,0.0679858517763868,0.0485610429020162
1,idw,0.0001,0,17-Oct-2020 23:27:35,50000,10000,12,70ad64f,aaaffd1e,5dof,5dof,1,8.941513,,2,0.0872664625997165,10000,0,1,1149327772,,0.0680143587319298,0.0484383105940884
1,idw,0.0001,0,17-Oct-2020 23:27:59,50000,10000,12,70ad64f,0a5d7d1f,5dof,5dof,1,8.799307,,2,0.0872664625997165,10000,0,1,1149331371,,0.068240042043729,0.0485405385966246
1,idw,0.0001,0,17-Oct-2020 23:25:13,5000,10000,12,70ad64f,941cb4b2,5dof,5dof,1,0.851832,,2,0.0872664625997165,10000,0,1,1149320121,,0.0695507826666175,0.049530473055972
1,idw,0.0001,0,17-Oct-2020 23:27:50,5000,10000,12,70ad64f,8692bc40,5dof,5dof,1,0.945839,,2,0.0872664625997165,10000,0,1,1149336853,,0.0704903005128806,0.0502679166019522
1,idw,0.0001,0,17-Oct-2020 23:25:37,5000,10000,12,70ad64f,0aa385d7,5dof,5dof,1,0.599723,,2,0.0872664625997165,10000,0,1,1149323134,,0.0693942041372265,0.0495303298621228
1,idw,0.0001,0,17-Oct-2020 23:27:13,5000,10000,12,70ad64f,cdad4620,5dof,5dof,1,0.776096,,2,0.0872664625997165,10000,0,1,1149332642,,0.0707854274563863,0.0503453870702459
1,idw,0.0001,0,17-Oct-2020 23:26:42,5000,10000,12,70ad64f,b1652162,5dof,5dof,1,0.858499,,2,0.0872664625997165,10000,0,1,1149329551,,0.0702250960353517,0.0501042342122097
1,idw,0.0001,0,17-Oct-2020 23:25:51,5000,10000,12,70ad64f,6995e483,5dof,5dof,1,0.651577,,2,0.0872664625997165,10000,0,1,1149325053,,0.0698742356985838,0.0498854626306841
1,idw,0.0001,0,17-Oct-2020 23:29:37,500,10000,12,70ad64f,0f3afe73,5dof,5dof,1,0.152899,,2,0.0872664625997165,10000,0,1,1149347367,,0.108003069006658,0.0759257155177585
1,idw,0.0001,0,17-Oct-2020 23:28:12,500,10000,12,70ad64f,d3b61072,5dof,5dof,1,0.123598,,2,0.0872664625997165,10000,0,1,1149339445,,0.105515486549421,0.0744526188139582
1,idw,0.0001,0,17-Oct-2020 23:25:49,500,10000,12,70ad64f,e5d8f2fc,5dof,5dof,1,0.107154,,2,0.0872664625997165,10000,0,1,1149325219,,0.10756562063846,0.0758833026511062
1,idw,0.0001,0,17-Oct-2020 23:29:34,500,10000,12,70ad64f,320fee5c,5dof,5dof,1,0.11654,,2,0.0872664625997165,10000,0,1,1149347339,,0.10439629420831,0.073702683015778
1,idw,0.0001,0,17-Oct-2020 23:26:17,500,10000,12,70ad64f,c4537570,5dof,5dof,1,0.108826,,2,0.0872664625997165,10000,0,1,1149327858,,0.10704484294264,0.0755531822986421
1,idw,0.0001,0,17-Oct-2020 23:28:09,500,10000,12,70ad64f,af580202,5dof,5dof,1,0.099094,,2,0.0872664625997165,10000,0,1,1149339275,,0.104951265169608,0.0746318121386453
1,idw,0.0001,0,17-Oct-2020 23:28:12,500,10000,12,70ad64f,4ffd0b2f,5dof,5dof,1,0.098096,,2,0.0872664625997165,10000,0,1,1149339500,,0.109565051372463,0.076036669652977
1,idw,0.0001,0,17-Oct-2020 23:26:39,500,10000,12,70ad64f,514c6104,5dof,5dof,1,0.132704,,2,0.0872664625997165,10000,0,1,1149330056,,0.106587589077426,0.0748743734926535
