datatype,method,projtol,zeroQ,starttime,nmeshpts,ndatapts,ncores,gitcommit,uuid,predinput,queryinput,projQ,oref_1,oref_2,oref_3,oref_4,oref_5,oref_6,oref_7,oref_8,oref2_1,oref2_2,oref2_3,oref2_4,oref2_5,oref2_6,oref2_7,oref2_8,nnmu,nnsigma,symruntime,runtime,parity,genseed,errmetrics,rmse,mae,Beta,KernelType,L,PredictMethod,Sigma,barytol,barytype,int_fraction,inttol,nints,nnMax,nn_mae,nn_rmse,numnonints,r,KernelParameterNames,KernelParameters_1,KernelParameters_2,barypars
kim,avg,0.0001,0,26-Oct-2020 16:24:08,10000,10000,12,7f39fc1,37118d5d,5dof,5dof,1,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,3.65645919876528,1.30244694941825,17.046536,0.001067,,78983,,0.0853718410142251,0.0618415857588004,NaN,<undefined>,NaN,<undefined>,NaN,NaN,<undefined>,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,
brk,avg,0.0001,0,26-Oct-2020 16:26:17,10000,10000,12,7f39fc1,a08f0584,5dof,5dof,1,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,3.98942614400262,0.97465536997801,18.725163,0.003374,,92968,,0.13005189577557,0.0968638620257208,NaN,<undefined>,NaN,<undefined>,NaN,NaN,<undefined>,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,
kim,avg,0.0001,0,26-Oct-2020 16:23:31,10000,10000,12,7f39fc1,5016ae69,5dof,5dof,1,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,3.69116044683476,1.28039156215449,19.358421,0.000794,,65252,,0.0856683609919645,0.062767676292719,NaN,<undefined>,NaN,<undefined>,NaN,NaN,<undefined>,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,
kim,avg,0.0001,0,26-Oct-2020 16:23:36,10000,10000,12,7f39fc1,100a8744,5dof,5dof,1,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,3.63314540448729,1.31248138430517,24.299067,0.00189,,61689,,0.0856188660401965,0.0618798455444414,NaN,<undefined>,NaN,<undefined>,NaN,NaN,<undefined>,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,
kim,avg,0.0001,0,26-Oct-2020 16:29:39,10000,10000,12,7f39fc1,1833a243,5dof,5dof,1,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,3.65611623444291,1.30950448798327,14.202792,0.000647,,19274,,0.0834737215795404,0.0613232429204013,NaN,<undefined>,NaN,<undefined>,NaN,NaN,<undefined>,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,
brk,avg,0.0001,0,26-Oct-2020 16:23:05,10000,10000,12,7f39fc1,9b4fa29a,5dof,5dof,1,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,3.99221752417319,0.989490403023521,19.262026,0.000518,,37345,,0.130154977580336,0.0969753905496894,NaN,<undefined>,NaN,<undefined>,NaN,NaN,<undefined>,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,
brk,avg,0.0001,0,26-Oct-2020 16:23:44,10000,10000,12,7f39fc1,a95c6e6d,5dof,5dof,1,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,3.9633332119716,0.982174158075044,14.158764,0.000768,,65420,,0.129655100500852,0.0973147864048092,NaN,<undefined>,NaN,<undefined>,NaN,NaN,<undefined>,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,
kim,avg,0.0001,0,26-Oct-2020 16:26:03,10000,10000,12,7f39fc1,54af5820,5dof,5dof,1,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,3.66942733439695,1.30991311032987,14.713066,0.001091,,21698,,0.0866223850722722,0.0621750636204414,NaN,<undefined>,NaN,<undefined>,NaN,NaN,<undefined>,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,
kim,avg,0.0001,0,26-Oct-2020 16:21:58,10000,10000,12,7f39fc1,5f8670fe,5dof,5dof,1,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,3.67667037570397,1.292902228032,18.943242,0.00043,,64043,,0.0850672981672652,0.0617103811145615,NaN,<undefined>,NaN,<undefined>,NaN,NaN,<undefined>,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,
brk,avg,0.0001,0,26-Oct-2020 16:23:35,10000,10000,12,7f39fc1,b552011e,5dof,5dof,1,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,4.00407553381848,0.980807200891411,22.985138,0.001362,,58321,,0.128795638152738,0.0962258947577532,NaN,<undefined>,NaN,<undefined>,NaN,NaN,<undefined>,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,
